idPartido;EquipoLocal;EquipoVisitante;GolesLocal;GolesVisitante;Estadio;idJor
0;At. Madrid;Valencia;1;3;Wanda Metropolitano;
1;Barcelona;Dptivo. Coruña;3;1;Camp Nou;
2;Burgos;Real Sociedad;1;0;Municipal de El Plantío;
3;Castellón;Real Madrid;2;3;Nuevo Castalia;
4;Celta;Espanyol;1;1;Balaídos;
5;Granada;Zaragoza;0;0;Miguel Prieto;
6;Las Palmas;Oviedo;2;1;Gran Canaria;
7;Málaga (C.D.);Ath. Bilbao;0;0;;
8;Sporting Gijón;Betis;1;0;El Requexón;
9;Ath. Bilbao;Celta;1;1;San Mamés;
10;Betis;Las Palmas;0;2;Benito Villamarín;
11;Dptivo. Coruña;Granada;0;0;Abanca-Riazor;
12;Espanyol;Castellón;1;0;RCDE Stadium;
13;Oviedo;At. Madrid;0;2;Municipal Carlos Tartiere;
14;Real Madrid;Sporting Gijón;1;0;Santiago Bernabéu;
15;Real Sociedad;Málaga (C.D.);1;1;Reale Arena;
16;Valencia;Barcelona;0;1;Mestalla;
17;Zaragoza;Burgos;2;0;La Romareda;
18;At. Madrid;Betis;2;1;Wanda Metropolitano;
19;Barcelona;Oviedo;3;1;Camp Nou;
20;Burgos;Málaga (C.D.);2;2;Municipal de El Plantío;
21;Castellón;Ath. Bilbao;1;4;Nuevo Castalia;
22;Celta;Real Sociedad;0;1;Balaídos;
23;Granada;Valencia;1;1;Miguel Prieto;
24;Las Palmas;Real Madrid;1;1;Gran Canaria;
25;Sporting Gijón;Espanyol;0;0;El Requexón;
26;Zaragoza;Dptivo. Coruña;5;0;La Romareda;
27;Ath. Bilbao;Sporting Gijón;2;0;San Mamés;
28;Betis;Barcelona;0;2;Benito Villamarín;
29;Dptivo. Coruña;Burgos;2;1;Abanca-Riazor;
30;Espanyol;Las Palmas;4;0;RCDE Stadium;
31;Málaga (C.D.);Celta;1;0;;
32;Oviedo;Granada;3;0;Municipal Carlos Tartiere;
33;Real Madrid;At. Madrid;0;1;Santiago Bernabéu;
34;Real Sociedad;Castellón;0;0;Reale Arena;
35;Valencia;Zaragoza;0;0;Mestalla;
36;At. Madrid;Espanyol;0;0;Wanda Metropolitano;
37;Barcelona;Real Madrid;1;0;Camp Nou;
38;Burgos;Celta;0;0;Municipal de El Plantío;
39;Castellón;Málaga (C.D.);1;0;Nuevo Castalia;
40;Dptivo. Coruña;Valencia;1;1;Abanca-Riazor;
41;Granada;Betis;0;0;Miguel Prieto;
42;Las Palmas;Ath. Bilbao;1;0;Gran Canaria;
43;Sporting Gijón;Real Sociedad;3;0;El Requexón;
44;Zaragoza;Oviedo;3;0;La Romareda;
45;Ath. Bilbao;At. Madrid;1;0;San Mamés;
46;Betis;Zaragoza;1;1;Benito Villamarín;
47;Celta;Castellón;2;0;Balaídos;
48;Espanyol;Barcelona;1;1;RCDE Stadium;
49;Málaga (C.D.);Sporting Gijón;1;0;;
50;Oviedo;Dptivo. Coruña;0;0;Municipal Carlos Tartiere;
51;Real Madrid;Granada;2;1;Santiago Bernabéu;
52;Real Sociedad;Las Palmas;1;0;Reale Arena;
53;Valencia;Burgos;3;0;Mestalla;
54;At. Madrid;Real Sociedad;2;1;Wanda Metropolitano;
55;Barcelona;Ath. Bilbao;1;0;Camp Nou;
56;Burgos;Castellón;2;1;Municipal de El Plantío;
57;Dptivo. Coruña;Betis;2;0;Abanca-Riazor;
58;Granada;Espanyol;2;2;Miguel Prieto;
59;Las Palmas;Málaga (C.D.);1;3;Gran Canaria;
60;Sporting Gijón;Celta;3;1;El Requexón;
61;Valencia;Oviedo;2;2;Mestalla;
62;Zaragoza;Real Madrid;0;0;La Romareda;
63;Ath. Bilbao;Granada;0;1;San Mamés;
64;Betis;Valencia;0;0;Benito Villamarín;
65;Castellón;Sporting Gijón;1;0;Nuevo Castalia;
66;Celta;Las Palmas;3;1;Balaídos;
67;Espanyol;Zaragoza;3;1;RCDE Stadium;
68;Málaga (C.D.);At. Madrid;0;1;;
69;Oviedo;Burgos;1;0;Municipal Carlos Tartiere;
70;Real Madrid;Dptivo. Coruña;0;0;Santiago Bernabéu;
71;Real Sociedad;Barcelona;2;0;Reale Arena;
72;At. Madrid;Celta;5;1;Wanda Metropolitano;
73;Barcelona;Málaga (C.D.);0;0;Camp Nou;
74;Burgos;Sporting Gijón;2;1;Municipal de El Plantío;
75;Dptivo. Coruña;Espanyol;0;0;Abanca-Riazor;
76;Granada;Real Sociedad;2;0;Miguel Prieto;
77;Las Palmas;Castellón;0;1;Gran Canaria;
78;Oviedo;Betis;0;0;Municipal Carlos Tartiere;
79;Valencia;Real Madrid;0;1;Mestalla;
80;Zaragoza;Ath. Bilbao;3;2;La Romareda;
81;Ath. Bilbao;Dptivo. Coruña;3;0;San Mamés;
82;Betis;Burgos;5;1;Benito Villamarín;
83;Castellón;At. Madrid;1;1;Nuevo Castalia;
84;Celta;Barcelona;0;0;Balaídos;
85;Espanyol;Valencia;3;0;RCDE Stadium;
86;Málaga (C.D.);Granada;3;0;;
87;Real Madrid;Oviedo;3;0;Santiago Bernabéu;
88;Real Sociedad;Zaragoza;3;0;Reale Arena;
89;Sporting Gijón;Las Palmas;2;2;El Requexón;
90;At. Madrid;Sporting Gijón;0;1;Wanda Metropolitano;
91;Barcelona;Castellón;3;1;Camp Nou;
92;Betis;Real Madrid;2;1;Benito Villamarín;
93;Burgos;Las Palmas;3;3;Municipal de El Plantío;
94;Dptivo. Coruña;Real Sociedad;1;2;Abanca-Riazor;
95;Granada;Celta;1;0;Miguel Prieto;
96;Oviedo;Espanyol;1;2;Municipal Carlos Tartiere;
97;Valencia;Ath. Bilbao;4;1;Mestalla;
98;Zaragoza;Málaga (C.D.);1;1;La Romareda;
99;Ath. Bilbao;Oviedo;3;3;San Mamés;
100;Castellón;Granada;0;0;Nuevo Castalia;
101;Celta;Zaragoza;1;2;Balaídos;
102;Espanyol;Betis;2;2;RCDE Stadium;
103;Las Palmas;At. Madrid;2;2;Gran Canaria;
104;Málaga (C.D.);Dptivo. Coruña;4;1;;
105;Real Madrid;Burgos;2;0;Santiago Bernabéu;
106;Real Sociedad;Valencia;2;1;Reale Arena;
107;Sporting Gijón;Barcelona;1;1;El Requexón;
108;Barcelona;Las Palmas;3;1;Camp Nou;
109;Betis;Ath. Bilbao;0;0;Benito Villamarín;
110;Burgos;At. Madrid;0;1;Municipal de El Plantío;
111;Dptivo. Coruña;Celta;1;0;Abanca-Riazor;
112;Granada;Sporting Gijón;1;0;Miguel Prieto;
113;Oviedo;Real Sociedad;1;1;Municipal Carlos Tartiere;
114;Real Madrid;Espanyol;1;0;Santiago Bernabéu;
115;Valencia;Málaga (C.D.);2;1;Mestalla;
116;Zaragoza;Castellón;0;1;La Romareda;
117;At. Madrid;Barcelona;2;0;Wanda Metropolitano;
118;Ath. Bilbao;Real Madrid;2;1;San Mamés;
119;Castellón;Dptivo. Coruña;2;0;Nuevo Castalia;
120;Celta;Valencia;1;0;Balaídos;
121;Espanyol;Burgos;2;0;RCDE Stadium;
