EQUIPO_LOCAL;GOLES_LOCAL;GOLES_VISITANTE;Estadio
;;;Anexos Santo Domingo
;;;Antonio Domínguez
;;;Artunduaga
;;;Berazubi
;;;Camp de la Morera
;;;Campo Municipal de Garachico
;;;Campo de Serralta
;;;Campo de fútbol Luis Oliver
;;;Centro Deportivo Calavera
;;;Centro Deportivo Vega de Triana
;;;Cerro del Espino
;;;Ciudad Deportiva de Getafe
;;;El Astobiza
;;;El Bayu
;;;El Fornás
;;;El Malecón
;;;El Mundo del Fútbol
;;;El Rosal
;;;Estadi Municipal de Capellades
;;;Estadio Francisco Gil Cardona
;;;Estadio La Devesa
;;;Estadio Municipal de Deportes El Mazo
;;;Estadio Vivar Téllez
;;;Etxezuri
;;;Ganzábal
;;;Gobela
;;;Hermanos Antuña
;;;Hermanos Llana
;;;Instalaciones de Zubieta
;;;José del Cuvillo
;;;La Condomina
;;;La Cueva
;;;La Florida
;;;La Mina
;;;La Veigona
;;;Las Callejas
;;;Las Gaunas
;;;Las Tolvas
;;;Mallona
;;;Manuel Galeano Sánchez
;;;Merkatondoa
;;;Mintxeta
;;;Municipal El Molino
;;;Municipal El Molinón-Enrique Castro Quini
;;;Municipal Les Grases
;;;Municipal de Badalona
;;;Municipal de Chapín
;;;Municipal de La Salud
;;;Municipal de Loinaz
;;;Municipal de Miramar
;;;Municipal de Montilla
;;;Municipal de Villafranca
;;;Nou Sardenya
;;;Nuevo Ategorri
;;;Nuevo Pepico Amat
;;;Príncipe Felipe
;;;Silvestre Carrillo
;;;Tabira
;;;Urbieta
;;;Urritxe
;;;Valle las Huertas
;;;Virgen de las Nieves
Alavés;0;0;Mendizorroza
Alavés;0;1;Mendizorroza
Alavés;0;2;Mendizorroza
Alavés;0;3;Mendizorroza
Alavés;0;4;Mendizorroza
Alavés;0;5;Mendizorroza
Alavés;1;0;Mendizorroza
Alavés;1;1;Mendizorroza
Alavés;1;2;Mendizorroza
Alavés;1;3;Mendizorroza
Alavés;1;4;Mendizorroza
Alavés;1;5;Mendizorroza
Alavés;2;0;Mendizorroza
Alavés;2;1;Mendizorroza
Alavés;2;2;Mendizorroza
Alavés;2;3;Mendizorroza
Alavés;2;4;Mendizorroza
Alavés;3;0;Mendizorroza
Alavés;3;1;Mendizorroza
Alavés;3;2;Mendizorroza
Alavés;3;3;Mendizorroza
Alavés;3;4;Mendizorroza
Alavés;4;0;Mendizorroza
Alavés;4;1;Mendizorroza
Alavés;4;2;Mendizorroza
Alavés;5;1;Mendizorroza
Alavés;5;2;Mendizorroza
Alavés;5;3;Mendizorroza
Alavés;6;0;Mendizorroza
Albacete;0;0;Carlos Belmonte
Albacete;0;1;Carlos Belmonte
Albacete;0;2;Carlos Belmonte
Albacete;0;3;Carlos Belmonte
Albacete;0;4;Carlos Belmonte
Albacete;0;5;Carlos Belmonte
Albacete;1;0;Carlos Belmonte
Albacete;1;1;Carlos Belmonte
Albacete;1;2;Carlos Belmonte
Albacete;1;3;Carlos Belmonte
