EQUIPO_LOCAL;EQUIPO_VISITANTE
Alavés;Albacete
Alavés;Alcorcón
Alavés;Algeciras
Alavés;Alicante
Alavés;Almería
Alavés;Almería (A.D.)
Alavés;At. Madrid
Alavés;At. Madrid B
Alavés;Ath. Bilbao
Alavés;Ath. Bilbao B
Alavés;Badajoz
Alavés;Barakaldo
Alavés;Barcelona
Alavés;Barcelona B
Alavés;Betis
Alavés;Burgos
Alavés;Cádiz
Alavés;Calvo Sotelo
Alavés;Cartagena F.C.
Alavés;Castellón
Alavés;Celta
Alavés;Ceuta
Alavés;Córdoba
Alavés;Cult. Leonesa
Alavés;Dptivo. Coruña
Alavés;Écija
Alavés;Éibar
Alavés;Ejido
Alavés;Elche
Alavés;Ensidesa
Alavés;Espanyol
Alavés;Extremadura
Alavés;Ferrol
Alavés;Getafe
Alavés;Gimn. Tarragon
Alavés;Girona
Alavés;Granada
Alavés;Granada 74
Alavés;Hércules
Alavés;Huesca
Alavés;Jaén
Alavés;Las Palmas
Alavés;Leganés
Alavés;Levante
Alavés;Linares
Alavés;Llagostera
Alavés;Lleida
Alavés;Logroñés
Alavés;Lorca
Alavés;Lugo
Alavés;Málaga
Alavés;Málaga (C.D.)
Alavés;Málaga B
Alavés;Mallorca
Alavés;Marbella
Alavés;Mérida
Alavés;Mirandés
Alavés;Murcia
Alavés;Numancia
Alavés;Osasuna
Alavés;Ourense
Alavés;Oviedo
Alavés;Palencia
Alavés;Ponferradina
Alavés;Pontevedra
Alavés;Rac. Santander
Alavés;Rayo Vallecano
Alavés;Real Madrid
Alavés;Real Madrid B
Alavés;Real Sociedad
Alavés;Rec. Huelva
Alavés;Sabadell
Alavés;Salamanca
Alavés;Sant Andreu
Alavés;Sestao
Alavés;Sevilla
Alavés;Sevilla B
Alavés;Sporting Gijón
Alavés;Tenerife
Alavés;Terrassa
Alavés;Toledo
Alavés;Valencia
Alavés;Valladolid
Alavés;Vecindario
Alavés;Villarreal
Alavés;Xerez
Alavés;Zaragoza
Albacete;Alavés
Albacete;Alcorcón
Albacete;Alicante
Albacete;Almería
Albacete;At. Madrid
Albacete;At. Madrid B
Albacete;Ath. Bilbao
Albacete;Ath. Bilbao B
Albacete;Avilés
Albacete;Badajoz
Albacete;Barcelona
Albacete;Barcelona B
Albacete;Betis
Albacete;Burgos
Albacete;Burgos (Real)
Albacete;Cádiz
Albacete;Cartagena
Albacete;Cartagena F.C.
Albacete;Castellón
Albacete;Celta
Albacete;Compostela
Albacete;Córdoba
Albacete;Dptivo. Coruña
Albacete;Écija
Albacete;Éibar
Albacete;Ejido
Albacete;Elche
Albacete;Espanyol
Albacete;Extremadura
Albacete;Ferrol
Albacete;Figueres
Albacete;Getafe
Albacete;Gimn. Tarragon
Albacete;Girona
Albacete;Granada
Albacete;Granada 74
Albacete;Hércules
Albacete;Huesca
Albacete;Jaén
Albacete;Las Palmas
Albacete;Leganés
