(Sociedad) 1.º de Abril para el Fomento de El Cabo;
(Sociedad) Alfonso XIII Foot-Ball Club;R. C. D. Mallorca
(Sociedad) Madrid Foot-Ball Clubn 5?;Real Madrid C. F.
;
Agrupación Deportiva Alcorcón;
Agrupación Deportiva Alcorcón;AD Alcorcón
Agrupación Deportiva El Rayo;
Agrupación Deportiva Plus Ultra;Real Madrid Club de Fútbol Castilla
Albacete Foot-Ball Association;Albacete Balompié
Alboraya Unión Deportiva;
Algeciras Sporting Club;Algeciras CF
Almería Club de Fútbol;
Arenas Foot-Ball Club;
Asociación Deportiva Mérida;A. D. Mérida
Astur Club de Futbol;
Athletic Club (Sucursal de Madrid);
Athletic Club;Athletic Club
Avilés Sport Club;
Baracaldo Foot-Ball Club;
Beasain Kirol Elkartea;
Burgos Club de Fútbol;Burgos CF
Cádiz Foot-Ball Club;Cádiz C. F.
Calavera Foot-Ball Club;
Carrión Balompié;
Cartagena Foot-Ball Club;
Cartagonova Fútbol Club;F. C. Cartagena
Castellón Foot-Ball Club;
Centre Esportiu Capelló;
Centre dEsports Sabadell;CE Sabadell FC
Club Atlético Central;
Club Atlético Foghetecaz;
Club Atlético Getafe;
Club Atlético Malagueño;Málaga C. F.
Club Atlético Osasuna;C. A. Osasuna
Club Atlético de Bilbao Amateur;Bilbao Athletic
Club Atlético de Ceuta;
Club Deportivo Alavés;Deportivo Alavés
Club Deportivo Alcoyano;
Club Deportivo Atlético Baleares;
Club Deportivo Badajoz 1905;C. D. Badajoz
Club Deportivo Basconia;
Club Deportivo Bembibrense;
Club Deportivo Cacereño;CP Cacereño
Club Deportivo Calvo Sotelo;CD Puertollano
Club Deportivo Carabanchel;RCD Carabanchel
Club Deportivo Cayón;
Club Deportivo Contestano;
Club Deportivo Eldense;
Club Deportivo Elgoibar;
Club Deportivo Europa;CE Europa
Club Deportivo Guadalajara;CD Guadalajara
Club Deportivo Lealtad;
Club Deportivo Leganés;CD Leganés
Club Deportivo Lugo;C. D. Lugo
Club Deportivo Mestalla;
Club Deportivo Mirandés;
Club Deportivo Montilla;Montilla CF
Club Deportivo Numancia;CD Numancia
Club Deportivo Puerto;
Club Deportivo San Álvaro;Córdoba C. F.
Club Deportivo San Andrés;
Club Deportivo Varea;U. D. Logroñés
Club Deportivo de la Sala Calvet;R. C. Deportivo de La Coruña
Club Gimnástico de Tarragona;
Club Lleida Esportiu;
Club Marino;Club Marino de Luanco
Club Mensajero;
Club Portugalete;
Club Recreativo Granada;
Club Siero;
Club de Fútbol Rayo Majadahonda;
Cultural y Deportiva Leonesa;
Deportiva Piloñesa;
Elche Foot-Ball Club;Elche C. F.
Extremadura Unión Deportiva;Extremadura UD
Fabril Foot-ball Club;
Foot-Ball Club Barcelona;F. C. Barcelona
Football Bétulo Club;Club de Fútbol Badalona
Garachico Balompié;
Gerona Foot-Ball Club;Girona FC
Getafe Club de Fútbol Promesas;
Getafe Club de Fútbol;Getafe C. F.
Haro Sport Club;
Hércules Foot-Ball Club;Hércules C. F.
Huelva Recreation Club;R. C. Recreativo de Huelva
Icod Sporting Club;
Izarra Beti Aurrera;CD Izarra
Jerez Club Deportivo;
Juventud Artística Deportiva;
La Societat Football-Club Vilafranca;
Levante Foot-Ball Club de Murcia;Real Murcia C. F.
Levante Foot-Ball Club;Levante U. D.
Luarca Club de Futbol;
Marino Fútbol Club;CD Marino
Nombre;Equipo
Palamós Sociedad Cultural;Palamós CF
Plataforma de Aficionados Unionistas;
Pontevedra Club de Fútbol;
Pumarín Club de Futbol;
Racing Club de Mieres;Caudal Deportivo
Racing Ferrol Foot-Ball Club;Racing Club de Ferrol
Racing Football Club Portuense;RC Portuense
Real Balompédica Linense;
Real Burgos Club de Fútbol;
Real Club Celta;
Real Oviedo Foot-Ball Club;Real Oviedo
Real Oviedo Vetusta;
Real Sociedad;
Real Titánico - Titanic;
Real Unión Club de Irún;Real Unión Club
Real Valladolid Deportivo;
Recreativo de Granada;
Santander Racing Club;
Santfeliuenc Foot-ball Club;
Santutxu Fútbol Club;
Sestao River Club;
Sevilla Balompié;Real Betis Balompié
Sevilla Foot-Ball Club;Sevilla FC
Sociedad Cultural Deportiva de Durango;
Sociedad Deportiva Amorebieta;
Sociedad Deportiva Campus Stellae;
Sociedad Deportiva Deusto;
Sociedad Deportiva Eibar;S. D. Eibar
Sociedad Deportiva Erandio Club;
Sociedad Deportiva Gernika Club;
Sociedad Deportiva Huesca;SD Huesca
Sociedad Deportiva Logroñés;EDF Logroño
Sociedad Deportiva Ponferradina;SD Ponferradina
Sociedad Deportiva Vélez Football Club;
Sociedad Española de Foot-Ball;RCD Espanyol
Sociedad Gimnástica;
Sociedad Olímpica Jiennense;Real Jaén CF
Sociedad de Foot-Ball;Real Sociedad
Sporting Club Tenerife;C. D. Tenerife
Sporting Club de Lutxana;
Sporting Club;
Sporting Gijonés;Sporting de Gijón
Tenisca Balompié;SD Tenisca
Terrassa Olímpica 2010;Terrassa Olímpica 2010
Tolosa Foot-Ball Club;
Unió Esportiva Sant Andreu;UE Sant Andreu
Unión Deportiva Las Palmas;U. D. Las Palmas
Unión Popular de Langreo;UP Langreo
Unión Sportiva Figueras;UE Figueres
Universidad Católica San Antonio de Murcia C.F.;UCAM Murcia Club de Fútbol
Valencia Foot-Ball Club;Valencia C. F.
Xerez Deportivo Fútbol Club;
Zaragoza Foot-Ball Club;Real Zaragoza
