EQUIPO_LOCAL;EQUIPO_VISITANTE;GOLES_LOCAL;GOLES_VISITANTE;Estadio;idJor;idPar;
Alavés;Albacete;0;0;Mendizorroza;2007372;27406;
Alavés;Albacete;0;2;Mendizorroza;1996322;18130;
Alavés;Albacete;0;2;Mendizorroza;2008212;28072;
Alavés;Albacete;1;1;Mendizorroza;2006122;26289;
Alavés;Albacete;1;1;Mendizorroza;2015112;33734;
Alavés;Albacete;2;1;Mendizorroza;2014172;33104;
Alavés;Albacete;5;1;Mendizorroza;1997012;18582;
Alavés;Alcorcón;1;0;Mendizorroza;2013282;32377;
Alavés;Alcorcón;1;1;Mendizorroza;2014112;33038;
Alavés;Alcorcón;1;1;Mendizorroza;2015172;33800;
Alavés;Algeciras;1;0;Mendizorroza;1979232;5329;
Alavés;Algeciras;1;1;Mendizorroza;2003072;23708;
Alavés;Algeciras;2;0;Mendizorroza;1978352;4763;
Alavés;Alicante;1;0;Mendizorroza;2008412;28292;
Alavés;Almería (A.D.);1;1;Mendizorroza;1981142;6611;
Alavés;Almería (A.D.);2;0;Mendizorroza;1978062;4473;
Alavés;Almería;1;0;Mendizorroza;1995222;17184;
Alavés;Almería;1;0;Mendizorroza;2006072;26234;
Alavés;Almería;1;1;Mendizorroza;1996102;17910;
Alavés;Almería;2;0;Mendizorroza;2003242;23895;
Alavés;Almería;2;1;Mendizorroza;2004172;24660;
Alavés;At. Madrid B;0;0;Mendizorroza;1981122;6591;
Alavés;At. Madrid B;0;1;Mendizorroza;1996212;18020;
Alavés;At. Madrid B;0;2;Mendizorroza;1982162;7317;
Alavés;At. Madrid B;2;1;Mendizorroza;1997132;18714;
Alavés;At. Madrid B;4;1;Mendizorroza;1980112;5895;
Alavés;At. Madrid;0;1;Mendizorroza;2005341;25276;
Alavés;At. Madrid;2;0;Mendizorroza;1998271;19308;
Alavés;At. Madrid;2;0;Mendizorroza;1999261;20144;
Alavés;At. Madrid;2;0;Mendizorroza;2002141;22550;
Alavés;Ath. Bilbao B;2;2;Mendizorroza;1995272;17234;
Alavés;Ath. Bilbao B;3;0;Mendizorroza;2015192;33822;
Alavés;Ath. Bilbao;0;0;Mendizorroza;2005311;25246;
Alavés;Ath. Bilbao;1;2;Mendizorroza;1998181;19218;
Alavés;Ath. Bilbao;1;2;Mendizorroza;1999191;20074;
Alavés;Ath. Bilbao;2;1;Mendizorroza;2000131;20856;
Alavés;Ath. Bilbao;2;3;Mendizorroza;2001301;21868;
Alavés;Ath. Bilbao;2;4;Mendizorroza;2002341;22750;
Alavés;Badajoz;0;1;Mendizorroza;1995092;17054;
Alavés;Badajoz;1;0;Mendizorroza;1996032;17840;
Alavés;Badajoz;1;0;Mendizorroza;1997312;18912;
Alavés;Barakaldo;0;2;Mendizorroza;1974082;1749;
Alavés;Barakaldo;0;2;Mendizorroza;1977362;4087;
Alavés;Barakaldo;2;0;Mendizorroza;1978102;4513;
Alavés;Barakaldo;2;0;Mendizorroza;1980242;6025;
Alavés;Barcelona B;0;1;Mendizorroza;1975342;2695;
Alavés;Barcelona B;0;1;Mendizorroza;1996182;17990;
Alavés;Barcelona B;1;1;Mendizorroza;1976052;3091;
Alavés;Barcelona B;1;3;Mendizorroza;1982082;7237;
Alavés;Barcelona B;2;0;Mendizorroza;1995312;17274;
Alavés;Barcelona B;2;3;Mendizorroza;2013102;32179;
Alavés;Barcelona B;2;3;Mendizorroza;2014042;32961;
Alavés;Barcelona B;3;0;Mendizorroza;1974192;1859;
Alavés;Barcelona;0;0;Mendizorroza;2002261;22670;
Alavés;Barcelona;0;0;Mendizorroza;2005011;24946;
Alavés;Barcelona;0;1;Mendizorroza;2000351;21076;
Alavés;Barcelona;1;4;Mendizorroza;1998351;19388;
Alavés;Barcelona;2;0;Mendizorroza;2001151;21718;
Alavés;Barcelona;2;1;Mendizorroza;1999041;19924;
Alavés;Betis;0;0;Mendizorroza;1998011;19048;
Alavés;Betis;0;1;Mendizorroza;2001261;21828;
Alavés;Betis;0;1;Mendizorroza;2002361;22770;
Alavés;Betis;1;2;Mendizorroza;2014352;33302;
Alavés;Betis;2;0;Mendizorroza;1999151;20034;
Alavés;Betis;2;0;Mendizorroza;2005361;25296;
Alavés;Betis;5;2;Mendizorroza;1978222;4633;
Alavés;Burgos;0;1;Mendizorroza;1981172;6641;
Alavés;Burgos;1;1;Mendizorroza;1975122;2475;
Alavés;Burgos;1;1;Mendizorroza;1980352;6135;
Alavés;Burgos;4;1;Mendizorroza;1974242;1909;
Alavés;Cádiz;0;0;Mendizorroza;2005091;25026;
Alavés;Cádiz;1;0;Mendizorroza;1974222;1889;
Alavés;Cádiz;1;0;Mendizorroza;1978122;4533;
Alavés;Cádiz;1;0;Mendizorroza;1982062;7217;
Alavés;Cádiz;1;1;Mendizorroza;1976152;3191;
Alavés;Cádiz;1;1;Mendizorroza;2006292;26476;
Alavés;Cádiz;1;1;Mendizorroza;2007042;27043;
Alavés;Cádiz;1;2;Mendizorroza;1980272;6055;
Alavés;Cádiz;1;3;Mendizorroza;2004312;24814;
Alavés;Cádiz;2;0;Mendizorroza;1979182;5279;
Alavés;Cádiz;2;0;Mendizorroza;2003062;23697;
Alavés;Cádiz;2;1;Mendizorroza;1975362;2715;
Alavés;Calvo Sotelo;1;1;Mendizorroza;1975032;2385;
Alavés;Calvo Sotelo;3;0;Mendizorroza;1976172;3211;
Alavés;Calvo Sotelo;4;0;Mendizorroza;1977372;4097;
Alavés;Cartagena F.C.;2;0;Mendizorroza;1982042;7197;
Alavés;Castellón;0;0;Mendizorroza;2007312;27340;
Alavés;Castellón;0;1;Mendizorroza;1980312;6095;
Alavés;Castellón;0;1;Mendizorroza;2008352;28226;
Alavés;Castellón;1;0;Mendizorroza;1977262;3987;
Alavés;Castellón;1;1;Mendizorroza;1978242;4653;
Alavés;Castellón;1;1;Mendizorroza;1982302;7457;
Alavés;Castellón;2;0;Mendizorroza;1974122;1789;
Alavés;Castellón;2;0;Mendizorroza;1976332;3371;
Alavés;Castellón;2;0;Mendizorroza;1979082;5179;
Alavés;Castellón;2;0;Mendizorroza;2006092;26256;
Alavés;Castellón;2;2;Mendizorroza;1975162;2515;
Alavés;Celta;0;0;Mendizorroza;1975322;2675;
Alavés;Celta;0;0;Mendizorroza;1979252;5349;
Alavés;Celta;0;0;Mendizorroza;2002321;22730;
Alavés;Celta;0;1;Mendizorroza;1981302;6771;
Alavés;Celta;0;3;Mendizorroza;2004272;24770;
Alavés;Celta;1;0;Mendizorroza;1999101;19984;
Alavés;Celta;1;0;Mendizorroza;2001131;21698;
Alavés;Celta;1;0;Mendizorroza;2005291;25226;
Alavés;Celta;1;1;Mendizorroza;1977122;3847;
Alavés;Celta;1;2;Mendizorroza;2008192;28050;
Alavés;Celta;2;0;Mendizorroza;1998111;19148;
Alavés;Celta;2;2;Mendizorroza;2000241;20966;
Alavés;Celta;2;3;Mendizorroza;2007212;27230;
Alavés;Ceuta;2;0;Mendizorroza;1980192;5975;
Alavés;Córdoba;0;0;Mendizorroza;1974042;1709;
Alavés;Córdoba;0;2;Mendizorroza;2007092;27098;
Alavés;Córdoba;1;0;Mendizorroza;1977342;4067;
Alavés;Córdoba;1;0;Mendizorroza;2003092;23730;
Alavés;Córdoba;1;0;Mendizorroza;2008022;27863;
Alavés;Córdoba;1;1;Mendizorroza;2004392;24902;
Alavés;Córdoba;1;1;Mendizorroza;2013242;32333;
Alavés;Córdoba;2;0;Mendizorroza;1975102;2455;
Alavés;Córdoba;3;0;Mendizorroza;1976092;3131;
Alavés;Córdoba;3;0;Mendizorroza;1982222;7377;
Alavés;Córdoba;3;2;Mendizorroza;2015102;33723;
Alavés;Córdoba;5;1;Mendizorroza;1981042;6511;
Alavés;Cult. Leonesa;2;1;Mendizorroza;1974062;1729;
Alavés;Dptivo. Coruña;0;0;Mendizorroza;1979342;5439;
Alavés;Dptivo. Coruña;1;0;Mendizorroza;1978132;4543;
Alavés;Dptivo. Coruña;1;0;Mendizorroza;1981102;6571;
Alavés;Dptivo. Coruña;1;0;Mendizorroza;2005381;25316;
Alavés;Dptivo. Coruña;1;1;Mendizorroza;1977222;3947;
Alavés;Dptivo. Coruña;1;1;Mendizorroza;2013382;32487;
Alavés;Dptivo. Coruña;1;2;Mendizorroza;2002041;22450;
Alavés;Dptivo. Coruña;2;0;Mendizorroza;1975232;2585;
Alavés;Dptivo. Coruña;2;1;Mendizorroza;1982202;7357;
Alavés;Dptivo. Coruña;2;1;Mendizorroza;1998291;19328;
Alavés;Dptivo. Coruña;2;1;Mendizorroza;1999201;20084;
Alavés;Dptivo. Coruña;2;3;Mendizorroza;2001041;21608;
Alavés;Dptivo. Coruña;3;1;Mendizorroza;2000151;20876;
Alavés;Dptivo. Coruña;5;1;Mendizorroza;1976292;3331;
Alavés;Écija;1;3;Mendizorroza;1995352;17314;
Alavés;Écija;4;0;Mendizorroza;1996162;17970;
Alavés;Éibar;0;2;Mendizorroza;2003212;23862;
Alavés;Éibar;0;2;Mendizorroza;2004132;24616;
Alavés;Éibar;0;2;Mendizorroza;2013192;32278;
Alavés;Éibar;1;0;Mendizorroza;1997232;18824;
Alavés;Éibar;1;0;Mendizorroza;2007112;27120;
Alavés;Éibar;1;1;Mendizorroza;1995292;17254;
Alavés;Éibar;1;1;Mendizorroza;2008372;28248;
Alavés;Éibar;1;3;Mendizorroza;1996262;18070;
Alavés;Ejido;0;0;Mendizorroza;2003352;24016;
