INICIO_TEMPORADA;FIN_TEMPORADA;DIVISIÓN;idTemp;
1972;1973;1;110;
1972;1973;2;120;
1973;1974;1;210;
1973;1974;2;220;
1974;1975;1;310;
1974;1975;2;320;
1975;1976;1;410;
1975;1976;2;420;
1976;1977;1;510;
1976;1977;2;520;
1977;1978;1;610;
1977;1978;2;620;
1978;1979;1;710;
1978;1979;2;720;
1979;1980;1;810;
1979;1980;2;820;
1980;1981;1;910;
1980;1981;2;920;
1981;1982;1;1010;
1981;1982;2;1020;
1982;1983;1;1110;
1982;1983;2;1120;
1983;1984;1;1210;
1983;1984;2;1220;
1984;1985;1;1310;
1984;1985;2;1320;
1985;1986;1;1410;
1985;1986;2;1420;
1986;1987;1;1510;
1986;1987;2;1520;
1986;1987;Descens;1540;
1987;1988;1;1610;
1987;1988;2;1620;
1987;1988;Promoci;1630;
1988;1989;1;1710;
1988;1989;2;1720;
1988;1989;Promoci;1730;
1989;1990;1;1810;
1989;1990;2;1820;
1989;1990;Promoci;1830;
1990;1991;1;1910;
1990;1991;2;1920;
1990;1991;Promoci;1930;
1991;1992;1;2010;
1991;1992;2;2020;
1991;1992;Promoci;2030;
1992;1993;1;2110;
1992;1993;2;2120;
1992;1993;Promoci;2130;
1993;1994;1;2210;
1993;1994;2;2220;
1993;1994;Promoci;2230;
1994;1995;1;2310;
1994;1995;2;2320;
1994;1995;Promoci;2330;
1995;1996;1;2410;
1995;1996;2;2420;
1995;1996;Promoci;2430;
1996;1997;1;2510;
1996;1997;2;2520;
1996;1997;Promoci;2530;
1997;1998;1;2610;
1997;1998;2;2620;
1997;1998;Promoci;2630;
1998;1999;1;2710;
1998;1999;2;2720;
1998;1999;Promoci;2730;
1999;2000;1;2810;
1999;2000;2;2820;
2000;2001;1;2910;
2000;2001;2;2920;
2001;2002;1;3010;
2001;2002;2;3020;
2002;2003;1;3110;
2002;2003;2;3120;
2003;2004;1;3210;
2003;2004;2;3220;
2004;2005;1;3310;
2004;2005;2;3320;
2005;2006;1;3410;
2005;2006;2;3420;
2006;2007;1;3510;
2006;2007;2;3520;
2007;2008;1;3610;
2007;2008;2;3620;
2008;2009;1;3710;
2008;2009;2;3720;
2009;2010;1;3810;
2009;2010;2;3820;
2010;2011;1;3910;
2010;2011;2;3920;
2010;2011;Promoci;3930;
2011;2012;1;4010;
2011;2012;2;4020;
2011;2012;Promoci;4030;
2012;2013;1;4110;
2012;2013;2;4120;
2012;2013;Promoci;4130;
2013;2014;1;4210;
2013;2014;2;4220;
2013;2014;Promoci;4230;
2014;2015;1;4310;
2014;2015;2;4320;
2014;2015;Promoci;4330;
2015;2016;1;4410;
2015;2016;2;4420;
