nombreCorto;nombreOficial;Ciudad;Fundación;FundLegal;nombreHistorico
Alavés;Deportivo Alavés;Vitoria;1921;Club Deportivo Alavés
Albacete;Albacete Balompié;Albacete;1940;Albacete Foot-Ball Association
Alcorcón;Agrupación Deportiva Alcorcón;Alcorcón;1971;Agrupación Deportiva Alcorcón
Alcoyano;Club Deportivo Alcoyano;Alcoy;1928;Club Deportivo Alcoyano
Algeciras;Algeciras Club de Fútbol;Algeciras;1909;1912;Algeciras Sporting Club
Alicante;;
Almería;Unión Deportiva Almería;Almería;1989;Almería Club de Fútbol
Almería (A.D.);;
Alzira;;
At. Madrid;Club Atlético de Madrid;Madrid;1903;Athletic Club (Sucursal de Madrid)
At. Madrid B;Club Atlético de Madrid B;Majadahonda;1963;Club Atlético Getafe
Ath. Bilbao;Athletic Club;Bilbao;1898;1901;Athletic Club
Ath. Bilbao B;Bilbao Athletic;Lezama;1964;Club Atlético de Bilbao Amateur
Avilés;Real Avilés Club de Fútbol;Avilés;1903;Avilés Sport Club
Badajoz;Club Deportivo Badajoz;Badajoz;2012;Club Deportivo Badajoz 1905
Barakaldo;Barakaldo Club de Fútbol;Baracaldo;1917;Baracaldo Foot-Ball Club
Barcelona;Fútbol Club Barcelona;Barcelona;1899;1903;Foot-Ball Club Barcelona
Barcelona B;;
Betis;Real Betis Balompié;Sevilla;1906;1907;Sevilla Balompié
Burgos;Burgos Club de Fútbol;Burgos;1994;Burgos Club de Fútbol
Burgos (Real);Real Burgos Club de Fútbol;Burgos;1983;Real Burgos Club de Fútbol
Cádiz;Cádiz Club de Fútbol;Cádiz;1910;Cádiz Foot-Ball Club
Calvo Sotelo;Club Deportivo Puertollano;Puertollano;1948;Club Deportivo Calvo Sotelo
Cartagena;Fútbol Club Cartagena;Cartagena;1995;Cartagonova Fútbol Club
Cartagena F.C.;Cartagena Fútbol Club;Cartagena;1919;Cartagena Foot-Ball Club
Castellón;Club Deportivo Castellón;Castellón de la Plana;1919;1922;Castellón Foot-Ball Club
Celta;Real Club Celta de Vigo;Vigo;1923;Real Club Celta
Ceuta;Club Atlético de Ceuta;Ceuta;1956;Club Atlético de Ceuta
Compostela;Sociedad Deportiva Compostela;Santiago de Compostela;2004;Sociedad Deportiva Campus Stellae
Córdoba;Córdoba Club de Fútbol;Córdoba;1954;Club Deportivo San Álvaro
Cult. Leonesa;Cultural y Deportiva Leonesa;León;1923;Cultural y Deportiva Leonesa
Dptivo. Coruña;Real Club Deportivo de La Coruña;La Coruña;1906;Club Deportivo de la Sala Calvet
Écija;;
Éibar;Sociedad Deportiva Eibar;Éibar;1943;Sociedad Deportiva Eibar
Ejido;;
Elche;Elche Club de Fútbol;Elche;1922;Elche Foot-Ball Club
Ensidesa;;
Espanyol;Real Club Deportivo Español;Barcelona;1900;1900;Sociedad Española de Foot-Ball
Extremadura;Extremadura Unión Deportiva;Almendralejo;2007;Extremadura Unión Deportiva
Ferrol;Racing Club de Ferrol;Ferrol;1919;Racing Ferrol Foot-Ball Club
Figueres;Unió Esportiva Figueres;Figueras;1919;Unión Sportiva Figueras
Getafe;Getafe Club de Fútbol;Getafe;1983;Getafe Club de Fútbol
Gimn. Tarragon;Club Gimnàstic de Tarragona;Tarragona;1914;Club Gimnástico de Tarragona
Girona;Girona Fútbol Club;Gerona;1930;Gerona Foot-Ball Club
Granada;Club Recreativo Granada;Granada;1947;Club Recreativo Granada
Granada 74;Granada Club de Fútbol;Granada;1931;Recreativo de Granada
Guadalajara;Club Deportivo Guadalajara;Guadalajara;1947;Club Deportivo Guadalajara
Hércules;Hércules de Alicante Club de Fútbol;Alicante;1914;1922;Hércules Foot-Ball Club
Huesca;Sociedad Deportiva Huesca;Huesca;1960;Sociedad Deportiva Huesca
Jaén;Real Jaén Club de Fútbol;Jaén;1929;Sociedad Olímpica Jiennense
Las Palmas;Unión Deportiva Las Palmas;Las Palmas de Gran Canaria;1949;Unión Deportiva Las Palmas
Leganés;Club Deportivo Leganés;Leganés;1928;Club Deportivo Leganés
Levante;Levante Unión Deportiva;Valencia;1909;Levante Foot-Ball Club
Linares;Real Balompédica Linense;La Línea de la Concepción;1912;1921;Real Balompédica Linense
Llagostera;;
Lleida;Club Lleida Esportiu;Lérida;2011;Club Lleida Esportiu
Logroñés;Sociedad Deportiva Logroñés;Logroño;2009;Sociedad Deportiva Logroñés
Lorca;;
Lugo;Club Deportivo Lugo;Lugo;1953;Club Deportivo Lugo
Málaga;Málaga Club de Fútbol;Málaga;1948;Club Atlético Malagueño
Málaga (C.D.);;
Málaga B;;
Mallorca;Real Club Deportivo Mallorca;Palma de Mallorca;1916;(Sociedad) Alfonso XIII Foot-Ball Club
Mallorca B;Club Deportivo Atlético Baleares;Mallorca B;1920;Club Deportivo Atlético Baleares
Marbella;;
